#Open,High,Low,Volume,Close
55500,55500,54800,428926,55500
55000,55500,54100,739156,54800
53800,54900,53600,848847,54700
54800,54800,53500,1071522,53600
54200,55200,54100,1611950,54700
55200,55200,54100,659717,55000
54600,54900,54000,773395,54900
55100,55200,53900,921231,54000
54200,54500,53600,835572,54500
53900,55800,53900,1457041,55800
56900,58600,56200,1850229,58000
57700,58500,57400,1172861,57700
58700,59600,57900,1498893,58000
57700,58900,57300,1130410,58600
58100,59000,57300,799962,58900
58800,59500,58200,722732,58800
59000,60200,58800,1984630,59400
59500,61000,59500,1563270,59700
60200,60300,58000,1048282,58400
58400,58500,57300,689737,57600
57000,58200,57000,957648,58200
57600,57800,56200,2344029,56300
56600,56800,55500,1181504,55700
56000,57000,55800,1049665,56100
55300,58200,55100,2216926,57200
58000,58100,57300,1400389,58000
57500,57600,56300,1674666,56500
56600,57100,55800,1627606,56500
56500,58400,56500,2538563,57100
57300,57700,56200,1369628,56700
56400,56500,55600,2006279,55700
55800,57000,55400,1986237,56800
57300,58000,56900,1901441,57700
58100,58800,57200,1534530,57700
56500,56700,55800,1667846,55900
55900,57500,55400,1709173,57100
57200,57600,56500,1847955,56900
57000,57900,56600,1436202,57900
58500,59300,57600,2210852,57800
58200,58900,57900,1871814,58300
58400,58800,57300,1423994,57600
58700,58800,56800,1543874,57900
57900,58200,57400,1277903,57800
57500,57600,56300,2216918,57000
56800,57300,56500,1664652,56800
56500,57600,56500,1378380,57200
57000,58500,57000,1353690,58200
58200,58300,56600,1368953,57000
56500,57200,55900,1433513,56900
55600,56400,55200,1735052,55200
54500,55000,54100,1638498,54100
53900,55100,53500,918670,54300
54300,55100,54100,853760,54900
54400,55500,54200,946152,55400
56000,56100,54800,1223364,55000
55200,56800,55200,651205,56200
57000,58600,57000,1204493,57400
57400,58000,56600,1031474,56700
56300,56300,54600,1979046,55300
56000,56100,55000,1025237,55000
54500,56300,54500,1171781,56100
55600,55700,54900,1215509,55600
55700,57200,55700,1570568,56900
57400,58300,57200,1214780,57500
58000,58200,57300,985260,57800
57500,58000,57200,689001,57700
57500,57700,56900,402632,57300
57100,57500,56800,456687,57400
56700,57100,56000,1005943,56000
56000,56000,55100,883676,55800
54800,55000,53900,754591,54800
55100,55900,54900,930230,55200
55200,55400,54400,1114492,54800
54500,55300,54000,1081256,55000
55700,55900,54400,776084,54400
54500,55100,53900,553439,54900
55300,55300,54300,596708,54300
53900,54500,53600,1088860,54300
54300,54500,53100,1353445,53200
52500,53900,52100,1100759,53900
53900,54100,53200,696825,53400
53500,53600,52100,818893,52600
52400,53300,52100,1248384,53000
52900,53300,52600,1100085,53000
